n_evals,hv_all
20,0.0
40,0.0
60,0.0
80,0.1493802308576987
100,0.1493802308576987
120,0.1493802308576987
140,0.1493802308576987
160,0.1493802308576987
180,0.16343820844609958
200,0.16343820844609958
220,0.16343820844609958
240,0.16343820844609958
260,0.8007788787391529
280,0.8106896628853757
300,0.8106896628853757
320,0.8106896628853757
340,0.8106896628853757
360,0.8117493048228731
380,0.8117493048228731
400,0.8117493048228731
420,0.8142709528067377
440,0.8142709528067377
460,0.8142709528067377
480,0.8142709528067377
500,0.8142709528067377
520,0.8142709528067377
540,0.8142709528067377
560,0.8142709528067377
580,0.8142709528067377
600,0.8772850934835398
