Question_ID,Std_R,Std_D,Std_P,Std_O
13,0.3,0.4,0.0,0.4330127018922193
14,0.0,0.0,0.0,0.4330127018922193
15,0.3,0.0,0.0,0.5
16,0.0,0.4,0.0,0.5
21,0.45825756949558405,0.8306623862918074,0.0,0.5
22,0.0,0.3,0.45825756949558394,0.4330127018922193
24,0.0,0.3,0.0,0.4330127018922193
26,0.3,0.0,0.3,0.7071067811865476
28,0.4,0.0,0.66332495807108,0.4330127018922193
29,0.4,0.48989794855663565,0.4000000000000001,0.4330127018922193
3,0.4,0.4,0.0,0.4330127018922193
32,0.3,0.0,0.0,0.4330127018922193
33,0.4,0.0,0.45825756949558394,0.5
34,0.30000000000000004,0.30000000000000004,0.0,0.5
36,0.0,0.0,0.6000000000000001,0.4330127018922193
37,0.3,0.5,0.45825756949558394,0.5
38,0.45825756949558394,0.6708203932499369,0.4,0.5
39,0.0,0.9165151389911679,0.0,0.0
4,0.4,0.4,0.30000000000000004,0.5
40,0.0,0.0,0.0,0.4330127018922193
43,0.3,0.66332495807108,0.66332495807108,0.5
45,0.4472135954999579,0.6000000000000001,0.4000000000000001,0.4330127018922193
46,0.5,0.0,0.4,0.4330127018922193
47,0.5,0.0,0.30000000000000004,0.5
48,0.0,0.9165151389911679,0.0,0.4330127018922193
49,0.3,0.3,0.5,0.5
50,0.0,0.3,0.0,0.0
6,0.3,0.6324555320336759,0.30000000000000004,0.4330127018922193
7,0.3,0.0,0.4,0.4330127018922193
8,0.5,0.3,0.4,0.5
